Cond.;k_prime;Yield;K;n;Plateau_Time;Translation_Rate;Rel. Yield
TOP1A;-6384.357254138006;1513012.434006739;1.6109349274691676;2.6485909153051588;2.827381694057554;621898.3335580284;1.9421177377868648
TOP1B;13798.11629978232;2164549.778408212;2.391425910713368;2.5559227448520003;4.262707752490508;578360.1727125609;2.789736844441944
TOP1C;15167.247322091662;1767926.0416386146;3.249591794802812;2.178256224033828;6.23325529494424;296267.66583343147;2.224170654732531
TOP2A;39354.19760243829;2379558.4060144746;2.3192986970686253;3.116449688192157;3.807722338788986;799355.2169273921;3.117399915804814
TOP2B;-25189.37843104631;4014250.3226075247;4.965267866777268;1.7899821629518415;10.513108476081548;361784.9362754969;4.514986538021563
TOP2C;-21722.89270305061;2582638.389102244;6.210182318232861;1.734961081459776;13.369054508043234;180380.2554806229;2.7064296917415973
BAD2A;23627.804974833256;768508.1966640009;1.1588799218082642;5.130847647715081;1.6106103185680851;850627.0578384459;1.0239694795888137
BAD2B;15194.402458255112;872261.1815938326;2.5158482070981587;3.3359539062765204;4.024171330127316;289149.3103420954;1.1441599899700494
BAD2C;27062.20606957617;1045601.1473029885;3.15691809266168;3.3356693796161103;5.049742430681055;276201.3162819671;1.378880405249634
REFA;21694.64742718461;467882.2583335631;2.27423796724363;3.402087329121389;3.611204216038288;174979.08371111928;0.6318363276047728
REFB;11368.867711527211;456891.7325735178;2.5937340755590834;2.781891693954581;4.458460931170041;122509.02355986668;0.600718061449252
REFC;34971.37066621217;1298822.234038178;2.4158932854664434;2.6751952921703857;4.222036779017847;359556.76796319097;1.711163766043715
COMA;19726.989396400026;1317698.9976466035;2.828286557315932;2.720474619899791;4.9075462104863865;316867.3512318138;1.7102691868239606
